MaDotBiTich;MaGiaoDan;GhiChu;UpdateDate;MaGiaoXuRieng;DeleteClient
24;2;;2018/10/30 21:46:48;1221;0
25;2;;2018/10/30 21:49:11;1221;0
26;2;;2018/10/30 21:52:51;1221;0
27;2;;2018/10/30 22:03:21;1221;0
28;2;;2018/10/30 22:03:48;1221;0
29;2;;2018/10/30 22:05:26;1221;0
30;2;;2018/10/30 22:06:29;1221;0
31;2;;2018/10/30 22:06:59;1221;0
32;2;;2018/10/30 22:08:05;1221;0
33;2;;2018/10/30 22:12:48;1221;0
34;2;;2018/10/30 22:14:35;1221;0
35;2;;2018/10/30 22:17:13;1221;0
36;2;;2018/10/30 22:18:37;1221;0
37;2;;2018/10/30 22:21:31;1221;0
38;2;;2018/10/30 22:23:53;1221;0
39;2;;2018/10/30 22:24:40;1221;0
40;2;;2018/10/30 22:26:16;1221;0
41;2;;2018/10/30 22:29:06;1221;0
42;2;;2018/10/30 22:31:10;1221;0
43;2;;2018/10/30 22:33:05;1221;0
44;2;;2018/10/30 22:39:09;1221;0
45;2;;2018/10/30 22:43:01;1221;0
46;2;;2018/10/30 22:45:13;1221;0
47;2;;2018/10/30 22:46:25;1221;0
48;2;;2018/10/30 22:47:16;1221;0
49;2;;2018/10/30 22:52:14;1221;0
50;2;;2018/10/30 22:54:23;1221;0
51;2;;2018/10/30 22:56:12;1221;0
52;2;;2018/10/30 22:57:00;1221;0
53;2;;2018/10/30 22:58:23;1221;0
54;2;;2018/10/30 23:00:57;1221;0
55;2;;2018/10/30 23:01:38;1221;0
56;2;;2018/10/30 23:02:13;1221;0
57;2;;2018/10/30 23:03:52;1221;0
58;2;;2018/10/30 23:05:15;1221;0
59;2;;2018/10/30 23:06:12;1221;0
